Marca temporal,id,aviso_priv, Datos Personales (NO INGRESAR NADA),genero,edad,ocupacion,genero_fav,medio,why_music,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30
24/5/2026 21:25:10,0,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,20 años,Trabajar,Hip-Hop,Spotify,Para trabajar o estudiar,4,6,4,3,5,6,1,4,4,1,3,6,1,5,6,1,3,5,1,4,4,4,1,2,6,1,2,2,6,3
24/5/2026 21:29:14,1,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,19,Estudiante ,Electrónica,Apple Music,Para hacer actividad física,3,6,6,3,6,5,6,3,6,6,6,6,6,6,6,6,3,6,6,5,6,6,3,6,6,6,6,6,6,6
24/5/2026 21:34:45,2,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,21,Estudiante,Rock,Spotify,Para alegrar mi día,5,5,4,2,4,5,1,2,2,6,6,3,6,5,3,6,5,6,2,5,5,3,1,3,3,6,2,6,4,4
24/5/2026 21:46:10,3,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Mujer,51 años,Profesionista,Rock,"Spotify, Youtube Music",Para alegrar mi día,5,5,5,5,5,5,5,4,3,4,2,5,4,3,4,3,4,3,4,3,5,5,4,3,3,3,4,2,3,5
24/5/2026 22:38:12,4,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Persona no binaria,21,Inversionista,Rock,"Spotify, Youtube Music",Para relajarme,6,6,2,2,1,6,1,4,6,3,1,6,2,5,5,1,1,1,1,3,6,4,3,3,5,6,6,4,3,6
24/5/2026 23:50:25,5,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Mujer,20,Estudiante,Rock,Spotify,Por hábito,5,5,5,6,5,3,6,4,2,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6
24/5/2026 23:54:09,6,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Mujer,21,Estudiante,Pop,Spotify,Por hábito,2,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,2,5,5,5,4,6,6,5
25/5/2026 6:42:01,7,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Mujer,20,Estudiante / empleado,Rock,"Spotify, Youtube Music",Para trabajar o estudiar,4,4,3,5,6,5,2,2,2,2,6,3,3,6,3,1,3,3,2,3,1,3,1,1,1,2,1,2,2,2
25/5/2026 8:50:12,8,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,21,Estudiante,Rock,"Spotify, MP3",Para trabajar o estudiar,5,4,4,5,5,5,2,4,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,6,6,6,6,6,6,5
25/5/2026 9:36:33,9,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,20,Estudiante,Electrónica,Spotify,Por hábito,4,5,4,5,3,5,3,4,3,3,6,5,4,4,4,3,4,5,3,4,3,3,3,3,4,4,4,3,3,4
